StudentID,LabID,GroupID,DayID,PretestScore,PosttestScore,Gain
1,1,Control,M,100,80,-20
2,1,Control,M,60,80,20
3,1,Control,M,80,80,0
4,1,Control,M,60,80,20
5,1,Control,M,100,100,0
6,1,Control,M,60,60,0
7,1,Control,M,80,100,20
8,1,Control,M,80,60,-20
9,1,Control,M,100,100,0
10,1,Experimental,W,60,60,0
11,1,Experimental,W,60,80,20
12,1,Experimental,W,60,80,20
13,1,Experimental,W,80,100,20
14,1,Experimental,W,80,80,0
15,1,Experimental,W,60,60,0
16,1,Experimental,W,80,100,20
17,1,Experimental,W,80,100,20
1,2,Control,M,40,60,20
2,2,Control,M,40,40,0
3,2,Control,M,60,40,-20
4,2,Control,M,60,40,-20
5,2,Control,M,80,80,0
6,2,Control,M,20,80,60
7,2,Control,M,60,40,-20
8,2,Control,M,60,40,-20
9,2,Control,M,80,60,-20
10,2,Experimental,W,60,60,0
11,2,Experimental,W,60,40,-20
12,2,Experimental,W,60,40,-20
13,2,Experimental,W,60,60,0
14,2,Experimental,W,80,60,-20
15,2,Experimental,W,0,0,0
16,2,Experimental,W,0,0,0
17,2,Experimental,W,60,80,20
1,3,Control,M,100,60,-40
2,3,Control,M,100,100,0
3,3,Control,M,80,80,0
4,3,Control,M,80,100,20
5,3,Control,M,80,80,0
6,3,Control,M,80,80,0
7,3,Control,M,0,0,0
8,3,Control,M,60,100,40
9,3,Control,M,60,80,20
10,3,Experimental,W,40,100,60
11,3,Experimental,W,80,100,20
12,3,Experimental,W,100,100,0
13,3,Experimental,W,80,100,20
14,3,Experimental,W,100,100,0
15,3,Experimental,W,100,100,0
16,3,Experimental,W,60,60,0
17,3,Experimental,W,100,100,0
1,4,Control,M,100,80,-20
2,4,Control,M,60,60,0
3,4,Control,M,60,80,20
4,4,Control,M,80,60,-20
5,4,Control,M,80,80,0
6,4,Control,M,60,60,0
7,4,Control,M,60,60,0
8,4,Control,M,60,60,0
9,4,Control,M,80,100,20
10,4,Experimental,W,60,80,20
11,4,Experimental,W,60,60,0
12,4,Experimental,W,60,40,-20
13,4,Experimental,W,80,60,-20
14,4,Experimental,W,60,60,0
15,4,Experimental,W,0,0,0
16,4,Experimental,W,40,40,0
17,4,Experimental,W,60,60,0
1,5,Control,M,100,60,-40
2,5,Control,M,80,60,-20
3,5,Control,M,100,100,0
4,5,Control,M,80,80,0
5,5,Control,M,80,60,-20
6,5,Control,M,100,100,0
7,5,Control,M,40,40,0
8,5,Control,M,80,80,0
9,5,Control,M,100,80,-20
10,5,Experimental,W,80,100,20
11,5,Experimental,W,100,100,0
12,5,Experimental,W,100,100,0
13,5,Experimental,W,100,100,0
14,5,Experimental,W,100,80,-20
15,5,Experimental,W,0,0,0
16,5,Experimental,W,60,80,20
17,5,Experimental,W,40,40,0
1,6,Control,M,60,80,20
2,6,Control,M,40,20,-20
3,6,Control,M,20,80,60
4,6,Control,M,80,80,0
5,6,Control,M,20,100,80
6,6,Control,M,80,80,0
7,6,Control,M,40,40,0
8,6,Control,M,40,80,40
9,6,Control,M,80,80,0
10,6,Experimental,W,20,60,40
11,6,Experimental,W,20,60,40
12,6,Experimental,W,100,100,0
13,6,Experimental,W,80,100,20
14,6,Experimental,W,60,100,40
15,6,Experimental,W,80,80,0
16,6,Experimental,W,40,40,0
17,6,Experimental,W,60,80,20
1,7,Control,M,0,80,80
2,7,Control,M,40,60,20
3,7,Control,M,80,100,20
4,7,Control,M,80,80,0
5,7,Control,M,100,100,0
6,7,Control,M,80,80,0
7,7,Control,M,20,20,0
8,7,Control,M,40,20,-20
9,7,Control,M,60,80,20
10,7,Experimental,W,100,100,0
11,7,Experimental,W,60,80,20
12,7,Experimental,W,100,100,0
13,7,Experimental,W,100,100,0
14,7,Experimental,W,100,100,0
15,7,Experimental,W,100,100,0
16,7,Experimental,W,60,60,0
17,7,Experimental,W,80,100,20
1,8,Control,M,40,40,0
2,8,Control,M,40,60,20
3,8,Control,M,40,100,60
4,8,Control,M,60,100,40
5,8,Control,M,80,100,20
6,8,Control,M,40,40,0
7,8,Control,M,60,40,-20
8,8,Control,M,60,100,40
9,8,Control,M,100,100,0
10,8,Experimental,W,100,100,0
11,8,Experimental,W,80,80,0
12,8,Experimental,W,100,100,0
13,8,Experimental,W,100,100,0
14,8,Experimental,W,100,100,0
15,8,Experimental,W,100,80,-20
16,8,Experimental,W,0,0,0
17,8,Experimental,W,100,80,-20
1,9,Control,M,40,80,40
2,9,Control,M,0,0,0
3,9,Control,M,80,80,0
4,9,Control,M,80,80,0
5,9,Control,M,100,100,0
6,9,Control,M,80,80,0
7,9,Control,M,20,20,0
8,9,Control,M,100,100,0
9,9,Control,M,40,80,40
10,9,Experimental,W,60,60,0
11,9,Experimental,W,40,60,20
12,9,Experimental,W,80,80,0
13,9,Experimental,W,80,80,0
14,9,Experimental,W,100,100,0
15,9,Experimental,W,80,80,0
16,9,Experimental,W,0,0,0
17,9,Experimental,W,80,60,-20
1,10,Control,M,60,60,0
2,10,Control,M,60,60,0
3,10,Control,M,80,60,-20
4,10,Control,M,100,80,-20
5,10,Control,M,100,100,0
6,10,Control,M,60,60,0
7,10,Control,M,20,20,0
8,10,Control,M,100,100,0
9,10,Control,M,60,60,0
10,10,Experimental,W,100,100,0
11,10,Experimental,W,100,100,0
12,10,Experimental,W,100,100,0
13,10,Experimental,W,100,100,0
14,10,Experimental,W,80,100,20
15,10,Experimental,W,100,100,0
16,10,Experimental,W,0,0,0
17,10,Experimental,W,60,60,0
1,11,Control,M,60,40,-20
2,11,Control,M,60,60,0
3,11,Control,M,80,100,20
4,11,Control,M,80,80,0
5,11,Control,M,60,60,0
6,11,Control,M,60,60,0
7,11,Control,M,80,80,0
8,11,Control,M,80,100,20
9,11,Control,M,100,100,0
10,11,Experimental,W,100,100,0
11,11,Experimental,W,100,100,0
12,11,Experimental,W,100,100,0
13,11,Experimental,W,100,100,0
14,11,Experimental,W,80,100,20
15,11,Experimental,W,100,100,0
16,11,Experimental,W,0,0,0
17,11,Experimental,W,100,80,-20
